phu_luc,chuong,ma_hs,mo_ta,can_kiem_tra
II,81,81.05,"Coban sten và các sản phẩm trung gian khác từ luyện coban; coban và các sản phẩm bằng coban, kể cả phế liệu và mảnh vụn,",
II,81,8105.20,Coban sten và các sản phẩm trung gian khác từ luyện coban; coban chưa gia công; bột:,
II,81,8105.20.10,Coban chưa gia công,
II,81,8105.20.90,Loại khác,
II,81,8105.30.00,Phế liệu và mảnh vụn,
II,81,8105.90.00,Loại khác,
II,81,81.06,"Bismut và các sản phẩm làm từ bismut, kể cả phế liệu và mảnh vụn.",
II,81,8106.10,"Chứa hàm lượng bismut trên 99,99%, tính theo khối lượng:",
II,81,8106.10.10,Bismut chưa gia công; phế liệu và mảnh vụn; bột:,
II,81,8106.10.10.10,Phế liệu và mảnh vụn,
II,81,8106.10.10.90,Loại khác,
II,81,8106.10.90,Loại khác,
II,81,8106.90,Loại khác:,
II,81,8106.90.10,Bismut chưa gia công; phế liệu và mảnh vụn; bột:,
II,81,8106.90.10.10,Phế liệu và mảnh vụn,
II,81,8106.90.10.90,Loại khác,
II,81,8106.90.90,Loại khác,
II,81,81.08,"Titan và các sản phẩm làm từ titan, kể cả phế liệu và mảnh vụn.",
II,81,8108.20.00,Titan chưa gia công; bột,
II,81,8108.30.00,Phế liệu và mảnh vụn,
II,81,8108.90.00,Loại khác,
II,81,81.09,"Zircon và các sản phẩm làm từ zircon, kể cả phế liệu và mảnh vụn. Zircon chưa gia công; bột:",x
II,81,8109.21.00,Chứa hàm lượng hafini trong zircon dưới 1/500 tính theo khối lượng,
II,81,8109.29.00,Loại khác Phế liệu và mảnh vụn:,x
II,81,8109.31.00,Chứa hàm lượng hafini trong zircon dưới 1/500 tính theo khối lượng,
II,81,8109.39.00,Loại khác Loại khác:,x
II,81,8109.91.00,Chứa hàm lượng hafini trong zircon dưới 1/500 tính theo khối lượng,
II,81,8109.99.00,Loại khác,
II,81,81.10,"Antimon và các sản phẩm làm từ antimon, kể cả phế liệu và mảnh vụn.",
II,81,8110.10.00,Antimon chưa gia công; bột,
II,81,8110.20.00,Phế liệu và mảnh vụn,
II,81,8110.90.00,Loại khác,
II,81,81.11,"Mangan và các sản phẩm làm từ mangan, kể cả phế liệu và mảnh vụn.",
II,81,8111.00.90,Phế liệu và mảnh vụn - Loại khác,
II,81,81.12,"Beryli, crôm, hafini, reni, tali, cadimi, germani, vanadi, gali, indi và niobi (columbi), và các sản phẩm từ các kim loại này, kể cả phế liệu và mảnh vụn. Beryli:",x
II,81,8112.13.00,Chưa gia công bột Phế liệu và mảnh vụn,
II,81,8112.19.00,Loại khác Crôm:,x
II,81,8112.21.00,Chưa gia công; bột,
II,81,8112.22.00,Phế liệu và mảnh vụn,
II,81,8112.29.00,Loại khác Hafini:,x
II,81,8112.31.00,Chưa gia công; phê liệu và mảnh vụn; bột:,
II,81,8112.31.00.10,Phế liệu và mảnh vụn,
II,81,8112.31.00.90,Loại khác,
II,81,8112.39.00,Loại khác Reni:,x
II,81,8112.41.00,Chưa gia công; phế liệu và mảnh vụn; bột,
II,81,8112.41.00.10,Phế liệu và mảnh vụn,
II,81,8112.41.00.90,Loại khác,
II,81,8112.49.00,Loại khác Tali:,x
II,81,8112.51.00,Chưa gia công; bột,
II,81,8112.52.00,Phế liệu và mảnh vụn,
II,81,8112.59.00,Loại khác Cađimi:,x
II,81,8112.61.00,Phế liệu và mảnh vụn,
II,81,8112.69,Loại khác:,
II,81,8112.69.10,Chưa gia công; bột,
II,81,8112.69.90,Loại khác Loại khác:,x
II,81,8112.92.00,Chưa gia công; phế liệu và mảnh vụn; bột:,
II,81,8112.92.00.10,Phế liệu và mảnh vụn,
II,81,8112.92.00.90,Loại khác,
II,81,8112.99.00,Loại khác,
II,81,81.13,"Gốm kim loại và các sản phẩm làm từ gốm kim loại, kể cả phế liệu và mảnh vụn.",
II,81,8113.00.00.10,Phế liệu và mảnh vụn,
II,81,8113.00.00.90,Loại khác:,
